$#|$#401185 3
100152002$#|$#60983 420
100152003$#|$#111839 400,112239 395,112634 396,113030 404
100152005$#|$#118245 461,118706 402,119108 411
100152006$#|$#119519 403,119922 396,120318 417,120735 403,121138 412
100152008$#|$#124394 384,124778 381,125159 384,125543 387
100152011$#|$#125930 466,126396 414,126810 413
100152012$#|$#127223 415,127638 413,128051 440,128491 415,128906 455
100152013$#|$#132295 390,132685 385,133070 390
100152015$#|$#139694 389,140083 384,140467 397,140864 389,141253 395
100152016$#|$#141648 392,142040 390,142430 410,142840 392
100152017$#|$#147201 383,147584 380,147964 389,148353 381
100152020$#|$#149141 387,149528 385,149913 387,150300 411
100152021$#|$#150711 386,151097 379,151476 385,151861 382
100152023$#|$#155020 393,155413 388,155801 411,156212 393
100152024$#|$#158258 389,158647 383,159030 403,159433 389,159822 409
100152025$#|$#162989 382,163371 379,163750 388,164138 383
100152026$#|$#166144 381,166525 383,166908 381,167289 377
100152027$#|$#173501 386,173887 383,174270 392,174662 386,175048 392
100152028$#|$#180129 384,180513 396,180909 383,181292 390,181682 384
100152029$#|$#182066 405,182471 389,182860 390,183250 407,183657 389
100152032$#|$#188722 389,189111 387,189498 407,189905 389
100152033$#|$#190680 384
100152034$#|$#192219 382
100152035$#|$#194133 392,194525 390,194915 410,195325 392
100152036$#|$#198905 409
100152037$#|$#201300 452,201752 411,202163 495,202658 493,203151 410,203561 440
100152038$#|$#207540 388,207928 386,208314 406,208720 388
100152039$#|$#210730 388,211118 386,211504 406,211910 388
100152040$#|$#213927 388,214315 390,214705 406,215111 388
100152041$#|$#219038 388,219426 386,219812 406,220218 388
100152044$#|$#222239 391,222630 389,223019 409,223428 391
100152045$#|$#225464 391,225855 398,226253 390,226643 409,227052 391
100152047$#|$#229473 391,229864 386,230250 400,230650 391
100152049$#|$#237931 383,238314 386,238700 381,239081 383,239464 381
100152050$#|$#239845 386,240231 393,240624 382,241006 386,241392 385
100152051$#|$#242156 409,242565 392,242957 409,243366 391
100152053$#|$#249007 408
100152056$#|$#252522 405,252927 385,253312 426,253738 451,254189 405,254594 491
100152057$#|$#255085 388,255473 386,255859 399,256258 386
100152058$#|$#258207 393
100152059$#|$#260683 389,261072 387,261459 407,261866 389
100152060$#|$#265379 390,265769 392,266161 408,266569 390,266959 416
100152062$#|$#270174 380,270554 383,270937 382
100152063$#|$#278287 387,278674 381,279055 399,279454 387,279841 403
100152064$#|$#280244 410
100152068$#|$#282753 397,283150 424
100152069$#|$#288993 390,289383 392,289775 408,290183 383,290566 390
100152070$#|$#293769 405,294174 405,294579 399,294978 401
100152071$#|$#296981 391,297372 389,297761 409,298170 391
100152072$#|$#300132 391,300523 386,300909 409,301318 391,301709 403
100152073$#|$#307673 442,308115 426,308541 476
100152074$#|$#314592 476,315068 452,315520 529,316049 423
100152078$#|$#318656 409,319065 396,319461 438,319899 462,320361 389,320750 409,321159 453
100152079$#|$#321612 397,322009 397,322406 394,322800 395
100152080$#|$#324792 408,325200 397,325597 434,326031 408
100152081$#|$#326439 391,326830 410,327240 391
100152083$#|$#336389 392,336781 387,337168 401,337569 392
100152085$#|$#339983 437,340420 438,340858 490
100152086$#|$#344687 422,345109 417,345526 448,345974 422,346396 460
100152089$#|$#348910 390,349300 399,349699 385,350084 390
100152090$#|$#352097 420,352517 419,352936 440,353376 419
100152093$#|$#357652 410,358062 393,358455 410,358865 392
100152095$#|$#362389 386,362775 386,363161 384
100152096$#|$#363545 404
100152097$#|$#365603 393,365996 388,366384 411,366795 393
100152098$#|$#368342 386,368728 382,369110 386,369496 384
100152101$#|$#372701 410
100152103$#|$#390158 464,390622 440,391062 517,391579 411
100152105$#|$#391990 464,392454 440,392894 517,393411 411
100152487$#|$#271319 386,271705 383,272088 385
100153206$#|$#204001 387,204388 385,204773 405
100153211$#|$#258600 414,259014 414,259428 467
100153214$#|$#280654 383,281037 429,281466 439,281905 463,282368 385
100153216$#|$#283574 406,283980 407,284387 459
100153219$#|$#302112 402,302514 400,302914 420,303334 396,303730 396
100153221$#|$#316472 406
100153222$#|$#323195 399,323594 398,323992 401,324393 399
100153224$#|$#334835 388,335223 398,335621 383,336004 385
100153226$#|$#341348 393,341741 471,342212 391,342603 421,343024 471,343495 390,343885 393
100153230$#|$#360844 387,361231 387,361618 385,362003 386
100153233$#|$#373111 420,373531 420,373951 403
100153413$#|$#61403 415,61818 396,62214 412,62626 385
100153418$#|$#272473 436,272909 428,273337 456,273793 434
100153419$#|$#284846 411,285257 424
100153420$#|$#309017 385,309402 386,309788 383
100153430$#|$#374354 414,374768 401,375169 414,375583 389,375972 404
100153474$#|$#17867 381
100153514$#|$#63011 383
100153517$#|$#285681 388,286069 386,286455 406
100153518$#|$#310171 389,310560 387,310947 407
100153521$#|$#363949 416,364365 410,364775 416,365191 412
100153578$#|$#245416 392,245808 390,246198 410
100153579$#|$#327631 385,328016 381,328397 391,328788 389
100153615$#|$#355494 436,355930 419,356349 436,356785 420,357205 447
100153617$#|$#376376 407,376783 403,377186 413
100153645$#|$#377599 395
100153666$#|$#329177 405,329582 432
100153702$#|$#377994 396
100153724$#|$#63394 391,63785 385,64170 391,64561 387
100153725$#|$#64948 389,65337 384
100153726$#|$#65721 391,66112 386
100153727$#|$#66498 413,66911 407,67318 413,67731 413
100153752$#|$#68144 390,68534 385
100153775$#|$#68919 414,69333 409
100153779$#|$#69742 386,70128 381
100153782$#|$#70509 388,70897 383
100153786$#|$#71280 406,71686 398,72084 413,72497 406
100153790$#|$#72903 388,73291 386,73677 406,74083 397
100153792$#|$#74480 380
100153809$#|$#74860 377
100153810$#|$#75237 398,75635 426
100153814$#|$#76061 390,76451 385,76836 381
100153818$#|$#77217 379
100153820$#|$#77596 384
100153821$#|$#77980 465,78445 515,78960 434,79394 396,79790 406
100153822$#|$#80196 410,80606 405
100153825$#|$#81011 387
100201312$#|$#8005 435
100201714$#|$#378390 409,378799 409,379208 392
100201725$#|$#135813 390,136203 383,136586 404,136990 390,137380 394
100201945$#|$#18248 387
100203644$#|$#167666 387,168053 384,168437 403,168840 402
100203645$#|$#184046 387,184433 380
100203646$#|$#249415 384,249799 388,250187 391,250578 384
100203648$#|$#269751 423
100203686$#|$#311354 407,311761 407,312168 398
100203689$#|$#339592 391
100203690$#|$#344278 409
100203704$#|$#274227 407,274634 388,275022 404,275426 382
100204074$#|$#148734 407
100204897$#|$#295379 403,295782 403,296185 397,296582 399
100204898$#|$#396020 414,396434 430,396864 452,397316 476,397792 476,398268 582,398850 395
100204991$#|$#316878 436,317314 462,317776 444,318220 436
100205251$#|$#399245 396,399641 380,400021 379,400400 397
100206913$#|$#81398 406,81804 406,82210 402
100207272$#|$#232668 410,233078 392,233470 408,233878 395,234273 392,234665 396
100209025$#|$#241777 379
100211098$#|$#82612 415,83027 422,83449 422
100211861$#|$#83871 458,84329 486,84815 440,85255 429
100211862$#|$#393822 461,394283 507,394790 396,395186 432,395618 402
100212064$#|$#85684 383,86067 380,86447 386
100219507$#|$#389736 422
100219525$#|$#113434 465,113899 439,114338 440,114778 439
100219529$#|$#115217 465,115682 439,116121 440,116561 439
100223631$#|$#330014 421,330435 438,330873 414
100229128$#|$#379600 402,380002 402,380404 396,380800 394
100235307$#|$#86833 388
100268212$#|$#87221 407,87628 487,88115 487,88602 463,89065 404
100294940$#|$#89469 416,89885 420,90305 413,90718 419
100325326$#|$#18635 382
100327076$#|$#117000 415,117415 413,117828 417
100327191$#|$#8440 389
100327192$#|$#8829 389
100327193$#|$#9218 384,9602 400
100327214$#|$#121550 409,121959 401,122360 417,122777 401,123178 401,123579 413,123992 402
100327215$#|$#129361 425,129786 410,130196 450,130646 401,131047 410,131457 419,131876 419
100327217$#|$#143232 407,143639 392,144031 415,144446 385,144831 392,145223 384
