0 14$#|$#16167 24
16167 24$#|$#9895 69
9895 69$#|$#5259 25#13868 24
5259 25$#|$#2687 58#7391 24
13868 24$#|$#12692 24#15054 24
2687 58$#|$#1292 58#4060 47
7391 24$#|$#6163 58#8855 47
12692 24$#|$#11375 36#13292 24
15054 24$#|$#14454 24#15643 24
1292 58$#|$#560 58#2068 25
4060 47$#|$#3405 58#4777 24
6163 58$#|$#5704 24#6785 44
8855 47$#|$#8035 80#9378 25
11375 36$#|$#10599 58#12095 47
13292 24$#|$#12980 24#13604 24
14454 24$#|$#14142 24#14766 24
15643 24$#|$#15333 24#15947 22
560 58$#|$#143 69#977 69
2068 25$#|$#1629 58#2430 69
3405 58$#|$#3010 58#3734 58
4777 24$#|$#4408 58#5082 69
5704 24$#|$#5406 54#5942 34
6785 44$#|$#6412 25#7145 25
8035 80$#|$#7604 23#8474 58
9378 25$#|$#9137 34#9674 36
10599 58$#|$#10171 25#11027 80
12095 47$#|$#11701 36#12490 47
12980 24$#|$#12812 24#13148 24
13604 24$#|$#13436 24#13772 24
14142 24$#|$#13964 24#14310 24
14766 24$#|$#14598 24#14934 24
15333 24$#|$#15174 24#15499 24
15947 22$#|$#15787 24#16101 22
143 69$#|$#0 14#386 47
977 69$#|$#734 58#1242 25
1629 58$#|$#1375 80#1872 69
2430 69$#|$#2231 25#2629 58
3010 58$#|$#2745 69#3231 47
3734 58$#|$#3568 25#3944 47
4408 58$#|$#4176 25#4625 36
5082 69$#|$#4872 47#5259 25
5406 54$#|$#5259 25#5562 34
5942 34$#|$#5786 44#6070 69
6412 25$#|$#6257 58#6578 91
7145 25$#|$#6934 44#7333 58
7604 23$#|$#7415 64#7773 91
8474 58$#|$#8264 58#8728 58
9137 34$#|$#8927 58#9273 34
9674 36$#|$#9508 36#9895 69
10171 25$#|$#9895 69#10370 58
11027 80$#|$#10784 58#11237 47
11701 36$#|$#11458 58#11888 69
12490 47$#|$#12247 69#12656 36
12812 24$#|$#12716 24#12908 24
13148 24$#|$#13052 24#13244 24
13436 24$#|$#13340 24#13532 24
13772 24$#|$#13676 24#13868 24
13964 24$#|$#13868 24#14060 24
14310 24$#|$#14214 24#14406 24
14598 24$#|$#14502 24#14694 24
14934 24$#|$#14838 24#15030 24
15174 24$#|$#15078 24#15267 22
15499 24$#|$#15405 24#15595 24
15787 24$#|$#15691 24#15881 22
